iter	Passed	Remaining
0	1	90
1	3	84
2	4	77
3	6	73
4	7	69
5	9	66
6	10	65
7	12	63
8	13	60
9	14	58
10	16	56
11	17	55
12	18	53
13	20	51
14	21	50
15	23	49
16	24	47
17	25	46
18	27	44
19	28	42
20	29	41
21	31	39
22	32	38
23	34	37
24	35	35
25	36	34
26	38	32
27	39	31
28	40	29
29	42	28
30	43	26
31	44	25
32	46	23
33	47	22
34	48	20
35	50	19
36	51	18
37	52	16
38	53	15
39	55	13
40	56	12
41	57	11
42	59	9
43	60	8
44	61	6
45	63	5
46	64	4
47	65	2
48	67	1
49	68	0
